BLOCK: 16
MatrixSize 0,0,0 0,1,2 0,4,8 0,1,3 0,8,16
128 0,2277 0,1934 0,1799 0,1780 0,1831 
256 0,19801 0,14230 0,14020 0,13991 0,13986 
384 0,57632 0,48623 0,49107 0,54699 0,56120 
512 0,242873 0,120302 0,116494 0,116226 0,124141 
640 0,274897 0,231000 0,246872 0,226107 0,233152 
768 0,579611 0,442095 0,441081 0,415364 0,400683 
896 0,755700 0,646730 0,644508 0,646584 0,645667 
1024 1,872840 1,18901 1,48976 1,39277 1,31375 
BLOCK: 32
MatrixSize 0,0,0 0,1,2 0,4,8 0,1,3 0,8,16
128 0,2397 0,1790 0,1721 0,1897 0,1805 
256 0,23724 0,14425 0,14304 0,14284 0,14305 
384 0,61069 0,46198 0,46474 0,46729 0,46397 
512 0,266299 0,137391 0,135674 0,136778 0,135884 
640 0,280345 0,216127 0,215911 0,217128 0,215538 
768 0,644033 0,380181 0,377848 0,379154 0,377876 
896 0,761942 0,600682 0,601081 0,600513 0,601054 
1024 2,145751 1,110184 1,104811 1,109016 1,105098 
BLOCK: 8
MatrixSize 0,0,0 0,1,2 0,4,8 0,1,3 0,8,16
128 0,2239 0,1903 0,1818 0,1807 0,1789 
256 0,18278 0,14734 0,15370 0,14485 0,14552 
384 0,55385 0,49129 0,49576 0,48982 0,48868 
512 0,177354 0,119989 0,116838 0,118443 0,117878 
640 0,279943 0,252243 0,248580 0,257485 0,250023 
768 0,564994 0,457960 0,456884 0,459949 0,453360 
896 0,844277 0,762161 0,762166 0,764382 0,761587 
1024 1,545775 1,258737 1,221163 1,214077 1,191289 
BLOCK: 64
MatrixSize 0,0,0 0,1,2 0,4,8 0,1,3 0,8,16
128 0,2750 0,2057 0,1947 0,1952 0,2063 
256 0,25331 0,14997 0,14843 0,14875 0,14769 
384 0,68848 0,52263 0,52309 0,52054 0,51832 
512 0,282794 0,158086 0,153759 0,152413 0,153025 
640 0,338453 0,247765 0,268696 0,250642 0,241829 
768 0,687072 0,432891 0,432066 0,432439 0,430371 
896 0,878151 0,664023 0,702505 0,663842 0,660558 
1024 2,362558 1,377885 1,375822 1,372075 1,366713 
BLOCK: 128
MatrixSize 0,0,0 0,1,2 0,4,8 0,1,3 0,8,16
128 0,2758 0,1873 0,1863 0,1899 0,1804 
256 0,25845 0,18560 0,18157 0,18344 0,18268 
384 0,73078 0,57636 0,59374 0,61532 0,61633 
512 0,311342 0,204089 0,187373 0,184333 0,184667 
640 0,364292 0,309853 0,283932 0,279686 0,279847 
768 0,754657 0,555921 0,555560 0,555793 0,555439 
896 0,947051 0,760548 0,761091 0,760949 0,765953 
1024 2,383124 1,474897 1,473178 1,474250 1,474096 

