MatrixSize	V0	B2	B4	B8	B16	B32	B64	B128
128	0,0029	0,0028	0,0013	0,0011	0,001	0,0009	0,0015	0,0028
256	0,0189	0,0138	0,0063	0,0046	0,0044	0,0054	0,0184	0,0183
384	0,0274	0,0294	0,0129	0,0109	0,0095	0,0098	0,0151	0,0271
512	0,0932	0,123	0,0475	0,0217	0,0269	0,0822	0,0744	0,0754
640	0,0964	0,1289	0,0476	0,0301	0,0265	0,0258	0,0398	0,073
768	0,2017	0,1929	0,0749	0,066	0,0463	0,051	0,1654	0,1721
896	0,4405	0,3125	0,1338	0,1097	0,0772	0,0742	0,1189	0,1706
1024	0,7041	0,5058	0,2144	0,2438	0,3364	0,3399	0,3551	0,4158
1152	0,8618	0,5554	0,2499	0,1894	0,1404	0,1368	0,2212	0,2903
1280	0,10511	0,6845	0,4057	0,3433	0,2372	0,22	0,53	0,5367
1408	0,13674	0,8465	0,4242	0,3544	0,2761	0,2547	0,376	0,4746
1536	0,15498	0,10488	0,4857	0,3979	0,3409	0,7781	0,876	0,8438
1664	0,20417	0,14398	0,716	0,6104	0,5379	0,5848	0,8204	0,845
1792	0,23737	0,17724	0,8343	0,8302	0,745	0,7257	0,11834	0,12855
1920	0,28203	0,16937	0,7869	0,6524	0,5514	0,531	0,845	0,9459
2048	0,42425	0,27269	0,1683	0,10251	0,138	0,14523	0,17776	0,18541
2176	0,34633	0,21504	0,10108	0,8097	0,6429	0,6519	0,9512	0,11065
2304	0,38162	0,23207	0,11874	0,9126	0,7583	0,846	0,1705	0,17555
2432	0,42485	0,26738	0,12653	0,1034	0,8186	0,8603	0,11982	0,13787
2560	0,55984	0,32725	0,17919	0,12094	0,9888	0,22032	0,21874	0,21308
2688	0,53263	0,32673	0,15655	0,12602	0,1018	0,10301	0,15504	0,16807
2816	0,57361	0,3498	0,17192	0,13731	0,11066	0,12669	0,25739	0,25112
2944	0,65077	0,39392	0,2002	0,15951	0,1239	0,12341	0,18649	0,20151
3072	0,88158	0,52927	0,30072	0,21908	0,29839	0,30576	0,31508	0,38358
3200	0,78093	0,47435	0,23858	0,1999	0,15145	0,14962	0,21955	0,23632
3328	0,82599	0,51225	0,24486	0,20632	0,17161	0,19566	0,35411	0,3569
3456	0,89883	0,53075	0,27435	0,20903	0,16784	0,17876	0,23783	0,28457
3584	0,120517	0,71413	0,3946	0,26629	0,19716	0,42381	0,43162	0,41773
3712	0,105164	0,62157	0,32683	0,25736	0,19549	0,1983	0,27352	0,32833
3840	0,118268	0,69874	0,35057	0,28671	0,20959	0,22741	0,47997	0,48159
3968	0,120406	0,71314	0,35245	0,29382	0,22271	0,23838	0,32908	0,36793
4096	0,197738	0,105219	0,54974	0,36518	0,54896	0,67678	0,68216	0,65945
4224	0,137844	0,80195	0,42335	0,32355	0,25189	0,25248	0,38034	0,41724
4352	0,158824	0,92953	0,47525	0,3826	0,28692	0,30921	0,62564	0,60477
4480	0,160349	0,92748	0,46579	0,38697	0,28605	0,29791	0,40377	0,46559
4608	0,203585	0,11928	0,6546	0,43356	0,33664	0,84134	0,84328	0,70916
4736	0,191162	0,115733	0,54328	0,50181	0,40501	0,4081	0,56241	0,53467
